model,checkpoint,architecture,degradation,severity,parameter_name,parameter_value,images,top1_accuracy,macro_f1,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop,relative_top1_retention,relative_f1_retention
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,3,sigma,2.5,5000,0.1146,0.1065296543154839,0.3422,0.3372163604506715,0.22760000000000002,0.2306867061351876,0.33489187609585036,0.315908914303899
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,gaussian_blur,4,sigma,4.0,5000,0.0606,0.0520117453706114,0.3422,0.3372163604506715,0.2816,0.2852046150800601,0.17708942139099942,0.1542384992860385
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,1,kernel_size,3.0,5000,0.304,0.3021349074139708,0.3422,0.3372163604506715,0.03820000000000001,0.03508145303670068,0.8883693746347165,0.8959675236699186
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,2,kernel_size,7.0,5000,0.21,0.2110096661734543,0.3422,0.3372163604506715,0.1322,0.1262066942772172,0.6136762127410871,0.6257397057825167
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,3,kernel_size,11.0,5000,0.1546,0.1521100655733218,0.3422,0.3372163604506715,0.18760000000000002,0.1851062948773497,0.45178258328462884,0.4510755805858141
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,motion_blur,4,kernel_size,17.0,5000,0.1016,0.093687117903678,0.3422,0.3372163604506715,0.2406,0.24352924254699349,0.2969023962594974,0.2778249482868216
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,1,quality,80.0,5000,0.3388,0.3338717313458553,0.3422,0.3372163604506715,0.003400000000000014,0.003344629104816199,0.9900642898889538,0.9900816523245008
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,2,quality,60.0,5000,0.3354,0.3295122073594022,0.3422,0.3372163604506715,0.006800000000000028,0.007704153091269317,0.9801285797779076,0.9771536793737613
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,3,quality,40.0,5000,0.328,0.3240149326678921,0.3422,0.3372163604506715,0.01419999999999999,0.013201427782779385,0.9585037989479837,0.9608517577108763
ResNet50 random,inat_resnet50_500_npclasses_imagenet.pth,resnet50,jpeg_compression,4,quality,20.0,5000,0.317,0.3122202141750491,0.3422,0.3372163604506715,0.0252,0.02499614627562241,0.9263588544710696,0.9258750487603377
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,1,sigma,0.03,5000,0.7326,0.7313291284892807,0.777,0.7763511237175496,0.044399999999999995,0.045021995228268885,0.9428571428571428,0.942008204982455
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,2,sigma,0.06,5000,0.626,0.6292392785651694,0.777,0.7763511237175496,0.15100000000000002,0.14711184515238018,0.8056628056628057,0.8105086208313365
ResNet50 pretrained,inat_resnet50_500_ptclasses_imagenet.pth,resnet50,gaussian_noise,3,sigma,0.12,5000,0.3644,0.3807038772803279,0.777,0.7763511237175496,0.4126,0.39564724643722166,0.468983268983269,0.4903758951971773
